Record Number	Plant Species	Plant Genus	Plant Family	Mosquito species	Mosquito Species (grouping)	Country of the study	LatDD	LonDD	Number of species of plant studied	Number of attractive plants	Reason of plant selection	Methodology approach	Observation/experimental design	Control/No control	Measurements	Sex	Replicates	General purpose of the study	Detailed purpose of the study	Rick of bias of the study	Study ID	Year
161	Heracleum maximum 	Heracleum	Umbelliferae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
162	Heracleum maximum 	Heracleum	Umbelliferae	Culiseta inornata	Culiseta species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
163	Heracleum maximum 	Heracleum	Umbelliferae	Aedes punctor	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
164	Heterotheca grandiflora 	Heterotheca	Asteraceae	Culex tarsalis	Other Culex species	"California, USA"	36.778259	-119.417931	3	2	Present and abundant in the study sites	Lab	Single choice	Yes	Content of sugars in mosquito crops	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits when overwintering	High	Schaefer_1972_158	1972
165	Hibiscus heterophyllus	Hibiscus	Malvaceae	Aedes aegypti	Aedes aegypti	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
166	Hieracium pratense = Pilosella caespitosa subsp. caespitosa	Hieracium	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
167	Hieracium pratense = Pilosella caespitosa subsp. caespitosa	Hieracium	Asteraceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	17	7	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Magnarelli_1978_33	1978
168	Hieracium pratense = Pilosella caespitosa subsp. caespitosa	Hieracium	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	12	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	Low	Magnarelli_1979_43	1979
169	Hieracium pratense = Pilosella caespitosa subsp. caespitosa	Hieracium	Asteraceae	Aedes cantator 	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	12	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	Low	Magnarelli_1979_43	1979
170	Hydrangea arborescens	Hydrangea	Hydrangeaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
171	Hydrangea quercifolia	Hydrangea	Hydrangeaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
172	Impatiens walleriana	Impatiens	Balsaminaceae	Aedes aegypti	Aedes aegypti	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
173	Impatiens walleriana	Impatiens	Balsaminaceae	Culex pipiens	Culex pipiens	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
174	Impatiens walleriana	Impatiens	Balsaminaceae	Aedes aegypti	Aedes aegypti	"Florida, USA"	27.994402	-81.760254	9	1	Characteristics of the plant	Semifield	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	18	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Pruett_2020_195	2020
175	Impatiens walleriana	Impatiens	Balsaminaceae	Aedes albopictus	Aedes albopictus	"Florida, USA"	27.994402	-81.760254	9	1	Characteristics of the plant	Semifield	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	18	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Pruett_2020_195	2020
176	Impatiens walleriana	Impatiens	Balsaminaceae	Culex quinquefasciatus	Other Culex species	"Florida, USA"	27.994402	-81.760254	9	1	Characteristics of the plant	Semifield	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	18	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Pruett_2020_195	2020
177	Ipomoea batatas	Ipomoea	Convolvulaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	8	3	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	7	Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in mosquito survival	Low	Impoinvil_2004_206	2004
178	Juncus arabicus = Juncus rigidus	Juncus	Juncaceae	Anopheles sergentii	Anopheles sergentii	Egypt	26.60517034	30.24013544	40	3	Present and abundant in the study sites	Lab	Plants marked by radiophosphorus	No	Proportion of dyed mosquitoes	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Abdel-Malek_1964_226	1964
179	Lantana camara	Lantana	Verbenaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	8	3	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	7	Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in mosquito survival	Low	Impoinvil_2004_206	2004
180	Lantana camara	Lantana	Verbenaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	6	Present and abundant in the study sites	Lab	"Choice assay, Gas chromatography in mosquito crops and plants"	Yes	Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42b	2007
181	Lantana camara	Lantana	Verbenaceae	Anopheles gambiae	Anopheles gambiae	"Ohio, USA"	40.367474	-82.996216	4	4	Attractive in previous studies	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	4	Study of floral odour attraction	Study of relationship of olfactory atraction with mosquito feeding preferences and survival	High	Nikbakhtzadeh_2016_171	2016
182	Lantana camara	Lantana	Verbenaceae	Aedes aegypti	Aedes aegypti	Mali	17.16814621	-4.346399842	7	5	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	6	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Sissoko_2019_71a	2019
183	Leonotis nepetifolia	Leonotis	Lamiaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
184	Leonotis nepetifolia	Leonotis	Lamiaceae	Aedes aegypti	Aedes aegypti	Kenya	0.689918232	37.95309411	3	3	Attractive in previous studies	Lab	Single choice	Yes	"Number of survival days, eggs and larvae"	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival and fecundity	High	Nyasembe_2021_247	2021
185	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
186	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes canadensis	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
187	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes vexans	Aedes vexans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
188	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes stimulans	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
189	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes communis	Aedes communis	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
190	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes sticticus	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
191	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes aegypti	Aedes aegypti	UK	53.97844735	-2.852943909	1	1	Attractive in previous studies	Lab	Observation of mosquitoes feeding on nectar	Yes	Number of observations of mosquitoes feeding on nectar	"Females, Males"	No	Study of floral odour attraction	Study floral odour attraction	High	Jepson_1988_189	1988
192	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
193	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	17	7	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Magnarelli_1978_33	1978
194	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	12	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	Low	Magnarelli_1979_43	1979
195	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	12	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	Low	Magnarelli_1979_43	1979
196	Leucanthemum vulgare	Leucanthemum	Asteraceae	Culex pipiens	Culex pipiens	Canada 	57.55048004	-98.41680518	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of pollination	"Study of mosquito feeding habits, Pollination"	High	Peach_2016_114	2016
197	Leucanthemum vulgare	Leucanthemum	Asteraceae	Culiseta incidens	Culiseta species	Canada 	57.55048004	-98.41680518	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of pollination	"Study of mosquito feeding habits, Pollination"	High	Peach_2016_114	2016
198	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes vexans	Aedes vexans	"Ohio, USA"	40.367474	-82.996216	6	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on the time distribution (blood and nectar feeding)	Low	Yee_1992_157	1992
199	Leucanthemum vulgare	Leucanthemum	Asteraceae	Aedes trivittatus	Aedes trivittatus	"Ohio, USA"	40.367474	-82.996216	6	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on the time distribution (blood and nectar feeding)	Low	Yee_1992_157	1992
200	Liatris aspera	Liatris	Asteraceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
201	Ligustrum quihoui 	Ligustrum	Oleaceae	Culex pipiens pallens	Other Culex species	China	38.07325481	104.6911386	3	3	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Content of glycogen, lipids and proteins in mosquitoes"	"Females, Males"	3	Study of floral odour attraction	Study of relationship of floral odour attraction and nutritional reward	High	Yu_2018_62	2018
202	Lilium regale	Lilium	Liliaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
203	Lilium regale	Lilium	Liliaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
204	Lilium regale	Lilium	Liliaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
205	Lilium superbum	Lilium	Liliaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
206	Luffa acutangula 	Luffa	Cucurbitaceae	Culex pilosus	Other Culex species	India	23.58630057	81.17300409	1	1	Characteristics of the plant	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of pollination	Study of pollination	High	Patil_2021_248	2021
207	Maianthemum canadense	Maianthemum	Asparagaceae	Aedes stimulans	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
208	Malva neglecta	Malva	Malvaceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
209	Malva neglecta	Malva	Malvaceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	17	7	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Magnarelli_1978_33	1978
210	Mangifera indica 	Mangifera	Anacardiaceae	Anopheles gambiae	Anopheles gambiae	Burkina Faso	12.10870904	-1.693281621	Not known	5	Observation of mosquitoes visiting/feeding on the plants	"Field, Lab"	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	Males	Every 3 days for 4 months	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Gouagna_2010_135	2010
211	Manihot esculenta	Manihot	Euphorbiaceae	Anopheles gambiae	Anopheles gambiae	"Ohio, USA"	40.367474	-82.996216	3	2	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	3	Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in mosquito survival	High	Gary_2004_19	2004
212	Melilotus albus	Melilotus	Fabaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
213	Melilotus albus	Melilotus	Fabaceae	Culiseta inornata	Culiseta species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
214	Melilotus albus	Melilotus	Fabaceae	Culex restuans	Culex restuans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
215	Monarda fistulosa	Monarda	Lamiaceae	Aedes vexans	Aedes vexans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
216	Monarda fistulosa	Monarda	Lamiaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
217	Mucuna sp.	Mucuna	Fabaceae	Topomyia pseudobarbus	Other mosquito species	Philippines	15.58654225	121.8220894	2	2	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences - EFN	High	Mogi_1989_165	1989
218	Myosotis arvensis	Myosotis	Boraginaceae	Aedes communis	Aedes communis	Sweden	62.73420986	17.06243199	8	6	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on nectar availability	High	Andersson_1990_104	1990
219	Nepeta cataria	Nepeta	Lamiaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
220	Nepeta cataria	Nepeta	Lamiaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
221	Nerium indicum = Nerium oleander	Nerium	Apocynaceae	Culex pipiens pallens	Other Culex species	China	38.07325481	104.6911386	3	3	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Content of glycogen, lipids and proteins in mosquitoes"	"Females, Males"	3	Study of floral odour attraction	Study of relationship of floral odour attraction and nutritional reward	High	Yu_2018_62	2018
222	Opuntia ficus-indica	Opuntia	Cactaceae	Aedes mcintoshi	Other Aedes species	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
223	Opuntia ficus-indica	Opuntia	Cactaceae	Aedes ochraceus	Other Aedes species	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
224	Opuntia ficus-indica	Opuntia	Cactaceae	Aedes aegypti	Aedes aegypti	Kenya	0.689918232	37.95309411	3	3	Attractive in previous studies	Lab	Single choice	Yes	"Number of survival days, eggs and larvae"	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival and fecundity	High	Nyasembe_2021_247	2021
225	Parthenium hysterophorus 	Parthenium	Asteraceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	5	Present and abundant in the study sites	Lab	Choice assay	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	"Latin square design (13 plant species in 13 positions in the
caged arena)"	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42a	2007
226	Parthenium hysterophorus 	Parthenium	Asteraceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	4	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Manda_2007_42c	2007
227	Parthenium hysterophorus 	Parthenium	Asteraceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	6	Present and abundant in the study sites	Lab	"Choice assay, Gas chromatography in mosquito crops and plants"	Yes	Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42b	2007
228	Parthenium hysterophorus 	Parthenium	Asteraceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
229	Parthenium hysterophorus 	Parthenium	Asteraceae	Anopheles gambiae	Anopheles gambiae	"Ohio, USA"	40.367474	-82.996216	4	4	Attractive in previous studies	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	4	Study of floral odour attraction	Study of relationship of olfactory atraction with mosquito feeding preferences and survival	High	Nikbakhtzadeh_2016_171	2016
230	Passiflora edulis	Passiflora	Passifloraceae	Aedes aegypti	Aedes aegypti	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
231	Passiflora edulis	Passiflora	Passifloraceae	Culex pipiens	Culex pipiens	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
232	Pastinaca sativa	Pastinaca	Umbelliferae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
233	Philadelphus californicus = Philadelphus lewisii	Philadelphus	Hydrangeaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
234	Philadelphus californicus = Philadelphus lewisii	Philadelphus	Hydrangeaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
235	Philadelphus californicus = Philadelphus lewisii	Philadelphus	Hydrangeaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
236	Philadelphus caucasicus = Philadelphus coronarius	Philadelphus	Hydrangeaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
237	Philadelphus caucasicus = Philadelphus coronarius	Philadelphus	Hydrangeaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
238	Philadelphus caucasicus = Philadelphus coronarius	Philadelphus	Hydrangeaceae	Aedes fitchii	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
